Strategy report
Symbol: FB
Work Time: 5/11/21, 9:59 AM - 6/23/21, 1:02 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$303.69;5/11/21, 9:59 AM;;($0.11);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$303.18;5/11/21, 10:03 AM;($0.51);($0.51);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$303.51;5/11/21, 10:08 AM;;($0.95);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$303.51;5/11/21, 10:09 AM;$0.00;($0.51);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$302.55;5/11/21, 10:51 AM;;($0.71);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$302.71;5/11/21, 10:55 AM;$0.16;($0.35);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$302.94;5/11/21, 10:57 AM;;$0.08;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$303.33;5/11/21, 10:59 AM;$0.39;$0.04;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$302.96;5/11/21, 11:19 AM;;$1.07;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$304.77;5/11/21, 11:28 AM;$1.81;$1.84;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$305.07;5/11/21, 11:31 AM;;$1.38;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$305.07;5/11/21, 11:32 AM;$0.00;$1.84;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$305.20;5/11/21, 11:34 AM;;$2.19;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$305.67;5/11/21, 11:37 AM;$0.46;$2.30;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$305.29;5/11/21, 11:59 AM;;$2.23;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$306.40;5/11/21, 12:10 PM;$1.11;$3.41;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$305.03;5/11/21, 1:05 PM;;$3.24;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$304.84;5/11/21, 1:07 PM;($0.19);$3.22;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$304.98;5/11/21, 1:18 PM;;$3.48;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$305.64;5/11/21, 1:28 PM;$0.66;$3.89;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$306.08;5/11/21, 1:30 PM;;$3.92;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$306.26;5/11/21, 1:33 PM;$0.18;$4.07;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$306.46;5/11/21, 1:43 PM;;$3.67;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$306.46;5/11/21, 1:44 PM;$0.00;$4.07;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$306.08;5/11/21, 2:04 PM;;$3.90;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$305.59;5/11/21, 2:08 PM;($0.49);$3.58;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$305.95;5/11/21, 2:22 PM;;$3.41;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$306.75;5/11/21, 2:31 PM;$0.80;$4.38;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$306.02;5/11/21, 2:49 PM;;$4.36;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$306.35;5/11/21, 2:58 PM;$0.33;$4.71;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$306.25;5/11/21, 3:00 PM;;$4.83;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$306.39;5/11/21, 3:02 PM;$0.14;$4.85;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$306.46;5/11/21, 3:04 PM;;$4.52;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$306.46;5/11/21, 3:05 PM;$0.00;$4.85;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$306.61;5/11/21, 3:19 PM;;$4.96;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$306.82;5/11/21, 3:29 PM;$0.21;$5.06;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$306.19;5/11/21, 3:49 PM;;$5.36;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$306.45;5/11/21, 3:51 PM;$0.26;$5.32;0.0;
39;MacdPerfect(SELL);Sell to Close;-1.0;$306.49;5/11/21, 3:52 PM;($0.05);$5.35;-1.0;
40;MacdPerfect(BUY);Buy to Open;1.0;$306.54;5/11/21, 3:52 PM;;$5.27;0.0;
41;MacdPerfect(SELL);Sell to Close;-1.0;$306.54;5/11/21, 3:53 PM;$0.06;$5.25;-1.0;
42;MacdPerfect(BUY);Buy to Open;1.0;$306.48;5/11/21, 3:53 PM;;$5.33;0.0;
43;MacdPerfect(SELL);Sell to Close;-1.0;$306.48;5/11/21, 3:54 PM;($0.10);$5.17;-1.0;
44;MacdPerfect(BUY);Buy to Open;1.0;$306.58;5/11/21, 3:54 PM;;$5.23;0.0;
45;MacdPerfect(SELL);Sell to Close;-1.0;$306.58;5/11/21, 3:55 PM;$0.01;$5.44;-1.0;
46;MacdPerfect(BUY);Buy to Open;1.0;$306.57;5/11/21, 3:55 PM;;$5.24;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$302.37;5/12/21, 10:25 AM;;$4.90;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$302.37;5/12/21, 10:26 AM;$0.00;$5.24;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$302.10;5/12/21, 10:29 AM;;$4.89;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$302.10;5/12/21, 10:30 AM;$0.00;$5.24;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$300.21;5/12/21, 11:12 AM;;$5.57;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$301.25;5/12/21, 11:17 AM;$1.04;$6.28;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$301.18;5/12/21, 11:19 AM;;$6.51;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$301.42;5/12/21, 11:21 AM;$0.24;$6.52;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$299.38;5/12/21, 12:48 PM;;$6.68;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$300.33;5/12/21, 1:01 PM;$0.95;$7.47;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$300.84;5/12/21, 1:03 PM;;$7.70;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$301.30;5/12/21, 1:07 PM;$0.46;$7.93;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$301.02;5/12/21, 1:38 PM;;$8.16;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$300.74;5/12/21, 1:42 PM;($0.28);$7.64;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$301.11;5/12/21, 1:55 PM;;$7.75;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$301.33;5/12/21, 1:59 PM;$0.22;$7.86;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$301.23;5/12/21, 2:01 PM;;$8.06;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$301.88;5/12/21, 2:09 PM;$0.65;$8.51;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$301.92;5/12/21, 2:21 PM;;$8.45;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$303.77;5/12/21, 2:36 PM;$1.85;$10.36;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$304.43;5/12/21, 2:49 PM;;$10.25;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$304.32;5/12/21, 2:51 PM;($0.11);$10.25;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$304.36;5/12/21, 3:10 PM;;$9.94;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$304.36;5/12/21, 3:11 PM;$0.00;$10.25;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$304.43;5/12/21, 3:30 PM;;$10.20;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$304.64;5/12/21, 3:36 PM;$0.21;$10.46;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$307.33;5/13/21, 9:32 AM;;$10.67;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$306.43;5/13/21, 9:39 AM;($0.90);$9.56;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$305.41;5/13/21, 9:56 AM;;$9.52;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$306.46;5/13/21, 10:06 AM;$1.05;$10.61;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$306.50;5/13/21, 10:10 AM;;$10.31;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$306.50;5/13/21, 10:11 AM;$0.00;$10.61;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$306.88;5/13/21, 10:14 AM;;$10.34;1.0;
80;MacdPerfect(SELL);Sell to Close;-1.0;$306.64;5/13/21, 10:16 AM;($0.24);$10.37;0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$307.05;5/13/21, 10:19 AM;;$9.93;1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$307.05;5/13/21, 10:20 AM;$0.00;$10.37;0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$307.30;5/13/21, 10:25 AM;;$10.17;1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$307.00;5/13/21, 10:27 AM;($0.30);$10.07;0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$307.53;5/13/21, 10:31 AM;;$9.91;1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$307.43;5/13/21, 10:33 AM;($0.10);$9.97;0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$307.68;5/13/21, 10:35 AM;;$9.94;1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$308.18;5/13/21, 10:41 AM;$0.50;$10.47;0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$307.92;5/13/21, 10:54 AM;;$10.84;1.0;
90;MacdPerfect(SELL);Sell to Close;-1.0;$308.28;5/13/21, 11:01 AM;$0.36;$10.83;0.0;
91;MacdPerfect(BUY);Buy to Open;1.0;$306.21;5/13/21, 11:42 AM;;$10.90;1.0;
92;MacdPerfect(SELL);Sell to Close;-1.0;$306.22;5/13/21, 11:44 AM;$0.02;$10.84;0.0;
93;MacdPerfect(BUY);Buy to Open;1.0;$305.90;5/13/21, 12:07 PM;;$10.79;1.0;
94;MacdPerfect(SELL);Sell to Close;-1.0;$306.48;5/13/21, 12:18 PM;$0.58;$11.42;0.0;
95;MacdPerfect(BUY);Buy to Open;1.0;$306.65;5/13/21, 12:31 PM;;$11.41;1.0;
96;MacdPerfect(SELL);Sell to Close;-1.0;$306.61;5/13/21, 12:37 PM;($0.04);$11.38;0.0;
97;MacdPerfect(BUY);Buy to Open;1.0;$305.90;5/13/21, 1:11 PM;;$11.38;1.0;
98;MacdPerfect(SELL);Sell to Close;-1.0;$305.94;5/13/21, 1:13 PM;$0.05;$11.42;0.0;
99;MacdPerfect(BUY);Buy to Open;1.0;$303.92;5/13/21, 1:56 PM;;$11.47;1.0;
100;MacdPerfect(SELL);Sell to Close;-1.0;$304.08;5/13/21, 2:00 PM;$0.16;$11.58;0.0;
101;MacdPerfect(BUY);Buy to Open;1.0;$303.98;5/13/21, 2:02 PM;;$11.85;1.0;
102;MacdPerfect(SELL);Sell to Close;-1.0;$304.31;5/13/21, 2:06 PM;$0.33;$11.91;0.0;
103;MacdPerfect(BUY);Buy to Open;1.0;$305.21;5/13/21, 2:08 PM;;$11.61;1.0;
104;MacdPerfect(SELL);Sell to Close;-1.0;$304.86;5/13/21, 2:10 PM;($0.34);$11.57;0.0;
105;MacdPerfect(BUY);Buy to Open;1.0;$304.92;5/13/21, 2:12 PM;;$11.44;1.0;
106;MacdPerfect(SELL);Sell to Close;-1.0;$304.92;5/13/21, 2:13 PM;$0.00;$11.57;0.0;
107;MacdPerfect(BUY);Buy to Open;1.0;$305.08;5/13/21, 2:15 PM;;$11.25;1.0;
108;MacdPerfect(SELL);Sell to Close;-1.0;$305.08;5/13/21, 2:16 PM;$0.00;$11.57;0.0;
109;MacdPerfect(BUY);Buy to Open;1.0;$305.35;5/13/21, 2:35 PM;;$11.38;1.0;
110;MacdPerfect(SELL);Sell to Close;-1.0;$305.21;5/13/21, 2:43 PM;($0.14);$11.43;0.0;
111;MacdPerfect(BUY);Buy to Open;1.0;$305.79;5/13/21, 3:02 PM;;$11.42;1.0;
112;MacdPerfect(SELL);Sell to Close;-1.0;$305.82;5/13/21, 3:09 PM;$0.03;$11.46;0.0;
113;MacdPerfect(BUY);Buy to Open;1.0;$306.53;5/13/21, 3:34 PM;;$11.29;1.0;
114;MacdPerfect(SELL);Sell to Close;-1.0;$306.53;5/13/21, 3:35 PM;$0.00;$11.46;0.0;
115;MacdPerfect(BUY);Buy to Open;1.0;$306.57;5/13/21, 3:40 PM;;$11.39;1.0;
116;MacdPerfect(SELL);Sell to Close;-1.0;$307.21;5/13/21, 3:46 PM;$0.64;$12.11;0.0;
117;MacdPerfect(BUY);Buy to Open;1.0;$307.20;5/13/21, 3:48 PM;;$12.01;1.0;
118;MacdPerfect(SELL);Sell to Close;-1.0;$307.20;5/13/21, 3:49 PM;$0.00;$12.11;0.0;
119;MacdPerfect(BUY);Buy to Open;1.0;$310.71;5/14/21, 9:32 AM;;$12.33;1.0;
120;MacdPerfect(SELL);Sell to Close;-1.0;$313.17;5/14/21, 9:38 AM;$2.46;$14.57;0.0;
121;MacdPerfect(BUY);Buy to Open;1.0;$313.12;5/14/21, 10:18 AM;;$14.62;1.0;
122;MacdPerfect(SELL);Sell to Close;-1.0;$313.13;5/14/21, 10:27 AM;$0.01;$14.58;0.0;
123;MacdPerfect(BUY);Buy to Open;1.0;$313.14;5/14/21, 10:58 AM;;$14.58;1.0;
124;MacdPerfect(SELL);Sell to Close;-1.0;$313.00;5/14/21, 11:02 AM;($0.14);$14.44;0.0;
125;MacdPerfect(BUY);Buy to Open;1.0;$312.91;5/14/21, 11:12 AM;;$14.24;1.0;
126;MacdPerfect(SELL);Sell to Close;-1.0;$312.91;5/14/21, 11:13 AM;$0.00;$14.44;0.0;
127;MacdPerfect(BUY);Buy to Open;1.0;$312.73;5/14/21, 11:36 AM;;$14.26;1.0;
128;MacdPerfect(SELL);Sell to Close;-1.0;$312.73;5/14/21, 11:37 AM;$0.00;$14.44;0.0;
129;MacdPerfect(BUY);Buy to Open;1.0;$312.58;5/14/21, 11:40 AM;;$14.41;1.0;
130;MacdPerfect(SELL);Sell to Close;-1.0;$312.58;5/14/21, 11:41 AM;$0.00;$14.44;0.0;
131;MacdPerfect(BUY);Buy to Open;1.0;$312.78;5/14/21, 11:47 AM;;$14.31;1.0;
132;MacdPerfect(SELL);Sell to Close;-1.0;$312.78;5/14/21, 11:48 AM;$0.00;$14.44;0.0;
133;MacdPerfect(BUY);Buy to Open;1.0;$312.79;5/14/21, 11:55 AM;;$14.48;1.0;
134;MacdPerfect(SELL);Sell to Close;-1.0;$312.81;5/14/21, 11:57 AM;$0.02;$14.46;0.0;
135;MacdPerfect(BUY);Buy to Open;1.0;$313.00;5/14/21, 12:03 PM;;$14.47;1.0;
136;MacdPerfect(SELL);Sell to Close;-1.0;$313.00;5/14/21, 12:05 PM;$0.00;$14.45;0.0;
137;MacdPerfect(BUY);Buy to Open;1.0;$312.92;5/14/21, 12:09 PM;;$14.55;1.0;
138;MacdPerfect(SELL);Sell to Close;-1.0;$313.58;5/14/21, 12:18 PM;$0.66;$15.11;0.0;
139;MacdPerfect(BUY);Buy to Open;1.0;$313.70;5/14/21, 12:20 PM;;$14.97;1.0;
140;MacdPerfect(SELL);Sell to Close;-1.0;$313.70;5/14/21, 12:21 PM;$0.00;$15.11;0.0;
141;MacdPerfect(BUY);Buy to Open;1.0;$313.76;5/14/21, 12:34 PM;;$14.98;1.0;
142;MacdPerfect(SELL);Sell to Close;-1.0;$313.76;5/14/21, 12:35 PM;$0.00;$15.11;0.0;
143;MacdPerfect(BUY);Buy to Open;1.0;$313.77;5/14/21, 12:37 PM;;$14.77;1.0;
144;MacdPerfect(SELL);Sell to Close;-1.0;$313.77;5/14/21, 12:38 PM;$0.00;$15.11;0.0;
145;MacdPerfect(BUY);Buy to Open;1.0;$313.85;5/14/21, 12:40 PM;;$15.05;1.0;
146;MacdPerfect(SELL);Sell to Close;-1.0;$313.79;5/14/21, 12:42 PM;($0.06);$15.05;0.0;
147;MacdPerfect(BUY);Buy to Open;1.0;$313.89;5/14/21, 12:56 PM;;$15.25;1.0;
148;MacdPerfect(SELL);Sell to Close;-1.0;$314.18;5/14/21, 1:03 PM;$0.29;$15.34;0.0;
149;MacdPerfect(BUY);Buy to Open;1.0;$314.17;5/14/21, 1:05 PM;;$15.28;1.0;
150;MacdPerfect(SELL);Sell to Close;-1.0;$314.21;5/14/21, 1:08 PM;$0.04;$15.38;0.0;
151;MacdPerfect(BUY);Buy to Open;1.0;$314.01;5/14/21, 1:30 PM;;$15.49;1.0;
152;MacdPerfect(SELL);Sell to Close;-1.0;$314.04;5/14/21, 1:34 PM;$0.03;$15.41;0.0;
153;MacdPerfect(BUY);Buy to Open;1.0;$313.96;5/14/21, 1:38 PM;;$15.38;1.0;
154;MacdPerfect(SELL);Sell to Close;-1.0;$313.92;5/14/21, 1:44 PM;($0.04);$15.37;0.0;
155;MacdPerfect(BUY);Buy to Open;1.0;$314.14;5/14/21, 1:49 PM;;$15.56;1.0;
156;MacdPerfect(SELL);Sell to Close;-1.0;$314.55;5/14/21, 1:57 PM;$0.41;$15.78;0.0;
157;MacdPerfect(BUY);Buy to Open;1.0;$314.67;5/14/21, 1:59 PM;;$15.87;1.0;
158;MacdPerfect(SELL);Sell to Close;-1.0;$314.89;5/14/21, 2:03 PM;$0.22;$16.00;0.0;
159;MacdPerfect(BUY);Buy to Open;1.0;$315.09;5/14/21, 2:09 PM;;$16.11;1.0;
160;MacdPerfect(SELL);Sell to Close;-1.0;$315.83;5/14/21, 2:17 PM;$0.74;$16.73;0.0;
161;MacdPerfect(BUY);Buy to Open;1.0;$316.10;5/14/21, 2:32 PM;;$16.78;1.0;
162;MacdPerfect(SELL);Sell to Close;-1.0;$316.03;5/14/21, 2:35 PM;($0.07);$16.66;0.0;
163;MacdPerfect(BUY);Buy to Open;1.0;$316.57;5/14/21, 2:53 PM;;$16.72;1.0;
164;MacdPerfect(SELL);Sell to Close;-1.0;$316.51;5/14/21, 2:58 PM;($0.06);$16.60;0.0;
165;MacdPerfect(BUY);Buy to Open;1.0;$316.57;5/14/21, 3:16 PM;;$16.48;1.0;
166;MacdPerfect(SELL);Sell to Close;-1.0;$316.51;5/14/21, 3:20 PM;($0.06);$16.54;0.0;
167;MacdPerfect(BUY);Buy to Open;1.0;$316.53;5/14/21, 3:30 PM;;$16.43;1.0;
168;MacdPerfect(SELL);Sell to Close;-1.0;$316.42;5/14/21, 3:34 PM;($0.11);$16.43;0.0;
169;MacdPerfect(SELL);Sell to Close;-1.0;$316.36;5/14/21, 3:54 PM;($0.13);$16.09;-1.0;
170;MacdPerfect(BUY);Buy to Open;1.0;$316.49;5/14/21, 3:54 PM;;$16.30;0.0;
171;MacdPerfect(SELL);Sell to Close;-1.0;$316.49;5/14/21, 3:55 PM;($0.20);$16.25;-1.0;
172;MacdPerfect(BUY);Buy to Open;1.0;$316.69;5/14/21, 3:55 PM;;$16.10;0.0;
173;MacdPerfect(SELL);Sell to Close;-1.0;$316.69;5/14/21, 3:56 PM;$0.16;$16.28;-1.0;
174;MacdPerfect(BUY);Buy to Open;1.0;$316.53;5/14/21, 3:56 PM;;$16.26;0.0;
175;MacdPerfect(SELL);Sell to Close;-1.0;$316.53;5/14/21, 3:57 PM;$0.02;$16.36;-1.0;
176;MacdPerfect(BUY);Buy to Open;1.0;$316.51;5/14/21, 3:57 PM;;$16.28;0.0;
177;MacdPerfect(SELL);Sell to Close;-1.0;$316.51;5/14/21, 3:58 PM;$0.07;$16.64;-1.0;
178;MacdPerfect(BUY);Buy to Open;1.0;$316.43;5/14/21, 3:58 PM;;$16.36;0.0;
179;MacdPerfect(BUY);Buy to Open;1.0;$314.46;5/17/21, 9:58 AM;;$16.98;1.0;
180;MacdPerfect(SELL);Sell to Close;-1.0;$314.68;5/17/21, 10:01 AM;$0.22;$16.57;0.0;
181;MacdPerfect(BUY);Buy to Open;1.0;$314.11;5/17/21, 10:20 AM;;$16.56;1.0;
182;MacdPerfect(SELL);Sell to Close;-1.0;$314.38;5/17/21, 10:24 AM;$0.27;$16.85;0.0;
183;MacdPerfect(BUY);Buy to Open;1.0;$314.95;5/17/21, 10:26 AM;;$16.89;1.0;
184;MacdPerfect(SELL);Sell to Close;-1.0;$314.79;5/17/21, 10:29 AM;($0.16);$16.68;0.0;
185;MacdPerfect(BUY);Buy to Open;1.0;$314.92;5/17/21, 10:38 AM;;$16.80;1.0;
186;MacdPerfect(SELL);Sell to Close;-1.0;$314.76;5/17/21, 10:44 AM;($0.16);$16.52;0.0;
187;MacdPerfect(BUY);Buy to Open;1.0;$312.82;5/17/21, 12:20 PM;;$16.53;1.0;
188;MacdPerfect(SELL);Sell to Close;-1.0;$312.76;5/17/21, 12:23 PM;($0.06);$16.46;0.0;
189;MacdPerfect(BUY);Buy to Open;1.0;$313.06;5/17/21, 12:38 PM;;$16.37;1.0;
190;MacdPerfect(SELL);Sell to Close;-1.0;$313.19;5/17/21, 12:46 PM;$0.13;$16.59;0.0;
191;MacdPerfect(BUY);Buy to Open;1.0;$312.59;5/17/21, 1:35 PM;;$16.74;1.0;
192;MacdPerfect(SELL);Sell to Close;-1.0;$312.63;5/17/21, 1:40 PM;$0.04;$16.63;0.0;
193;MacdPerfect(BUY);Buy to Open;1.0;$312.54;5/17/21, 1:51 PM;;$16.63;1.0;
194;MacdPerfect(SELL);Sell to Close;-1.0;$312.74;5/17/21, 2:00 PM;$0.20;$16.83;0.0;
195;MacdPerfect(BUY);Buy to Open;1.0;$312.81;5/17/21, 2:08 PM;;$16.92;1.0;
196;MacdPerfect(SELL);Sell to Close;-1.0;$313.35;5/17/21, 2:16 PM;$0.54;$17.37;0.0;
197;MacdPerfect(BUY);Buy to Open;1.0;$313.44;5/17/21, 2:22 PM;;$17.35;1.0;
198;MacdPerfect(SELL);Sell to Close;-1.0;$313.41;5/17/21, 2:24 PM;($0.03);$17.34;0.0;
199;MacdPerfect(BUY);Buy to Open;1.0;$313.60;5/17/21, 2:27 PM;;$17.43;1.0;
200;MacdPerfect(SELL);Sell to Close;-1.0;$314.10;5/17/21, 2:33 PM;$0.50;$17.84;0.0;
201;MacdPerfect(BUY);Buy to Open;1.0;$314.11;5/17/21, 2:53 PM;;$18.02;1.0;
202;MacdPerfect(SELL);Sell to Close;-1.0;$314.67;5/17/21, 3:00 PM;$0.56;$18.40;0.0;
203;MacdPerfect(BUY);Buy to Open;1.0;$314.86;5/17/21, 3:02 PM;;$18.38;1.0;
204;MacdPerfect(SELL);Sell to Close;-1.0;$315.24;5/17/21, 3:08 PM;$0.38;$18.78;0.0;
205;MacdPerfect(BUY);Buy to Open;1.0;$315.20;5/17/21, 3:33 PM;;$18.87;1.0;
206;MacdPerfect(SELL);Sell to Close;-1.0;$315.02;5/17/21, 3:39 PM;($0.18);$18.60;0.0;
207;MacdPerfect(BUY);Buy to Open;1.0;$315.26;5/17/21, 3:42 PM;;$18.47;1.0;
208;MacdPerfect(SELL);Sell to Close;-1.0;$315.34;5/17/21, 3:46 PM;$0.08;$18.68;0.0;
209;MacdPerfect(BUY);Buy to Open;1.0;$315.64;5/17/21, 3:48 PM;;$18.53;1.0;
210;MacdPerfect(SELL);Sell to Close;-1.0;$315.64;5/17/21, 3:49 PM;$0.00;$18.68;0.0;
211;MacdPerfect(BUY);Buy to Open;1.0;$315.88;5/18/21, 9:36 AM;;$18.63;1.0;
212;MacdPerfect(SELL);Sell to Close;-1.0;$316.06;5/18/21, 9:39 AM;$0.17;$18.85;0.0;
213;MacdPerfect(BUY);Buy to Open;1.0;$314.66;5/18/21, 10:17 AM;;$18.69;1.0;
214;MacdPerfect(SELL);Sell to Close;-1.0;$314.50;5/18/21, 10:19 AM;($0.16);$18.69;0.0;
215;MacdPerfect(BUY);Buy to Open;1.0;$314.66;5/18/21, 10:21 AM;;$18.62;1.0;
216;MacdPerfect(SELL);Sell to Close;-1.0;$314.45;5/18/21, 10:24 AM;($0.21);$18.48;0.0;
217;MacdPerfect(BUY);Buy to Open;1.0;$315.02;5/18/21, 10:26 AM;;$18.61;1.0;
218;MacdPerfect(SELL);Sell to Close;-1.0;$315.47;5/18/21, 10:32 AM;$0.45;$18.93;0.0;
219;MacdPerfect(BUY);Buy to Open;1.0;$315.73;5/18/21, 10:56 AM;;$19.21;1.0;
220;MacdPerfect(SELL);Sell to Close;-1.0;$315.59;5/18/21, 11:02 AM;($0.14);$18.80;0.0;
221;MacdPerfect(BUY);Buy to Open;1.0;$315.49;5/18/21, 11:16 AM;;$18.74;1.0;
222;MacdPerfect(SELL);Sell to Close;-1.0;$315.45;5/18/21, 11:18 AM;($0.04);$18.76;0.0;
223;MacdPerfect(BUY);Buy to Open;1.0;$314.04;5/18/21, 12:08 PM;;$18.87;1.0;
224;MacdPerfect(SELL);Sell to Close;-1.0;$314.00;5/18/21, 12:11 PM;($0.04);$18.72;0.0;
225;MacdPerfect(BUY);Buy to Open;1.0;$314.10;5/18/21, 12:13 PM;;$18.82;1.0;
226;MacdPerfect(SELL);Sell to Close;-1.0;$314.24;5/18/21, 12:18 PM;$0.14;$18.86;0.0;
227;MacdPerfect(BUY);Buy to Open;1.0;$314.35;5/18/21, 12:21 PM;;$18.89;1.0;
228;MacdPerfect(SELL);Sell to Close;-1.0;$314.52;5/18/21, 12:24 PM;$0.17;$19.03;0.0;
229;MacdPerfect(BUY);Buy to Open;1.0;$314.63;5/18/21, 12:26 PM;;$19.16;1.0;
230;MacdPerfect(SELL);Sell to Close;-1.0;$314.79;5/18/21, 12:32 PM;$0.16;$19.19;0.0;
231;MacdPerfect(BUY);Buy to Open;1.0;$314.20;5/18/21, 1:28 PM;;$19.14;1.0;
232;MacdPerfect(SELL);Sell to Close;-1.0;$314.25;5/18/21, 1:31 PM;$0.05;$19.24;0.0;
233;MacdPerfect(BUY);Buy to Open;1.0;$313.58;5/18/21, 2:09 PM;;$19.05;1.0;
234;MacdPerfect(SELL);Sell to Close;-1.0;$313.58;5/18/21, 2:10 PM;$0.00;$19.24;0.0;
235;MacdPerfect(BUY);Buy to Open;1.0;$313.80;5/18/21, 2:17 PM;;$19.26;1.0;
236;MacdPerfect(SELL);Sell to Close;-1.0;$313.75;5/18/21, 2:20 PM;($0.05);$19.19;0.0;
237;MacdPerfect(BUY);Buy to Open;1.0;$312.24;5/18/21, 3:10 PM;;$19.23;1.0;
238;MacdPerfect(SELL);Sell to Close;-1.0;$312.27;5/18/21, 3:16 PM;$0.03;$19.22;0.0;
239;MacdPerfect(BUY);Buy to Open;1.0;$312.38;5/18/21, 3:18 PM;;$19.36;1.0;
240;MacdPerfect(SELL);Sell to Close;-1.0;$312.58;5/18/21, 3:22 PM;$0.20;$19.42;0.0;
241;MacdPerfect(BUY);Buy to Open;1.0;$312.76;5/18/21, 3:32 PM;;$19.38;1.0;
